# 🧠 CHARLES'S SUPER BRAIN - ADVANCED SCANNER V2
## 2026-03-11 | 43 Stocks Analyzed

## ⚡ Advanced Algorithms
- Piotroski F-Score (0-9)
- Graham Number (Intrinsic Value)
- Altman Z-Score (Bankruptcy Risk)
- Technical Analysis
- Institutional Momentum

## 🏆 TOP ADVANCED PICKS
| Rank | Code | Name | Sector | Score | Piotroski | Altman Z | Risk |
|------|------|------|--------|-------|-----------|-----------|------|
| 1 | 300476 | 中际旭创 | AI硬件 | **108.1** | 9/9 | 87.2 | LOW |
| 2 | 300308 | 中际旭创 | AI硬件 | **106.1** | 9/9 | 81.9 | LOW |
| 3 | 002594 | 比亚迪 | 新能源 | **104.2** | 8/9 | 81.7 | LOW |
| 4 | 300750 | 宁德时代 | 新能源 | **104** | 8/9 | 76.6 | LOW |
| 5 | 872926 | 贝特瑞 | 新能源 | **104** | 9/9 | 76.5 | LOW |
| 6 | 300033 | 同花顺 | 科技 | **103.6** | 9/9 | 76.3 | LOW |
| 7 | 300122 | 智飞生物 | 医药 | **103.5** | 9/9 | 94.8 | LOW |
| 8 | 300502 | 新易盛 | 科技 | **102.9** | 9/9 | 68.5 | LOW |
| 9 | 1024 | 快手 | 科技 | **102.5** | 9/9 | 49.7 | LOW |
| 10 | 870299 | 吉林碳谷 | 新材料 | **102.4** | 9/9 | 68.5 | LOW |
| 11 | 300014 | 亿纬锂能 | 新能源 | **102.3** | 8/9 | 68.5 | LOW |
| 12 | 300018 | 中科创达 | 科技 | **102.2** | 9/9 | 60.4 | LOW |
| 13 | 835670 | 数字人 | AI教育 | **101.8** | 9/9 | 50 | LOW |
| 14 | 300672 | NOVA科技 | 科技 | **100.7** | 9/9 | 49.8 | LOW |
| 15 | 3690 | 美团 | 科技 | **100.5** | 8/9 | 60.2 | LOW |
| 16 | 600276 | 恒瑞医药 | 医药 | **100.5** | 8/9 | 55 | LOW |
| 17 | 300015 | 爱尔眼科 | 医药 | **99.3** | 8/9 | 68.3 | LOW |
| 18 | 600196 | 复星医药 | 医药 | **99** | 9/9 | 49.7 | LOW |
| 19 | 1810 | 小米集团 | 科技 | **98.6** | 8/9 | 41.7 | LOW |
| 20 | 002475 | 立讯精密 | 科技 | **97.5** | 8/9 | 60.3 | LOW |
| 21 | 000858 | 五粮液 | 消费 | **97** | 8/9 | 86.7 | LOW |
| 22 | 0700 | 腾讯控股 | 科技 | **97** | 7/9 | 76 | LOW |
| 23 | 300339 | 润和软件 | 科技 | **96.4** | 8/9 | 39.2 | LOW |
| 24 | 600519 | 贵州茅台 | 消费 | **96.4** | 7/9 | 94.6 | LOW |
| 25 | 871212 | 安达科技 | 新能源 | **96.4** | 8/9 | 60.5 | LOW |
| 26 | 601012 | 隆基绿能 | 新能源 | **95** | 7/9 | 60.4 | LOW |
| 27 | 870864 | 红东方 | 化工 | **94.1** | 8/9 | 65.6 | LOW |
| 28 | 9988 | 阿里巴巴 | 科技 | **94** | 7/9 | 49.7 | LOW |
| 29 | 600309 | 万华化学 | 化工 | **93.7** | 7/9 | 76.1 | LOW |
| 30 | 300003 | 乐普医疗 | 医药 | **91.5** | 7/9 | 49.7 | LOW |

---
*🧠 Charles's Super Brain - Advanced Scanner V2*
