# 🧠 CHARLES'S SUPER BRAIN - COMPREHENSIVE STOCK SCAN
## 2026-03-01 | 176 Stocks Scanned

## 📊 SCAN SUMMARY
- Total Stocks: 176
- Hidden Gems Found: 30
- Top 120 Selected: 120

## 💎 TOP 30 HIDDEN GEMS
| Rank | Code | Name | Sector | Quality | Score | Signal |
|------|------|------|--------|---------|-------|--------|
| 1 | 600276 | 恒瑞医药 | 医药 | 82 | **84.3** | 🎯 STRONG |
| 2 | 300003 | 乐普医疗 | 医药 | 78 | **82.9** | 🎯 STRONG |
| 3 | 0185 | 众安在线 | 科技 | 70 | **80.3** | 🎯 STRONG |
| 4 | 300039 | 上海钢联 | 科技 | 70 | **79.3** | 🟢 BUY |
| 5 | 300142 | 沃森生物 | 医药 | 75 | **78.9** | 🟢 BUY |
| 6 | 000028 | 国药一致 | 医药 | 72 | **78.7** | 🟢 BUY |
| 7 | 300033 | 同花顺 | 科技 | 78 | **78.6** | 🟢 BUY |
| 8 | 300026 | 红日药业 | 医药 | 68 | **78.5** | 🟢 BUY |
| 9 | 0669 | 创科实业 | 科技 | 68 | **77.8** | 🟢 BUY |
| 10 | 300408 | 三环集团 | 科技 | 72 | **77.3** | 🟢 BUY |
| 11 | 600111 | 北方稀土 | 稀土 | 72 | **76.7** | 🟢 BUY |
| 12 | 600183 | 生益科技 | 电子 | 72 | **76.4** | 🟢 BUY |
| 13 | 600161 | 天坛生物 | 医药 | 75 | **76.2** | 🟢 BUY |
| 14 | 600887 | 伊利股份 | 消费 | 75 | **75.6** | 🟢 BUY |
| 15 | 002475 | 立讯精密 | 科技 | 75 | **75.6** | 🟢 BUY |
| 16 | 1810 | 小米集团 | 科技 | 72 | **75.4** | 🟢 BUY |
| 17 | 300682 | 朗新科技 | 科技 | 68 | **75.2** | 🟢 BUY |
| 18 | 600196 | 复星医药 | 医药 | 78 | **75.2** | 🟢 BUY |
| 19 | 9618 | 京东集团 | 科技 | 80 | **75** | 🟢 BUY |
| 20 | 300036 | 航发动力 | 军工 | 75 | **75** | 🟢 BUY |
| 21 | 000034 | 神州数码 | 科技 | 60 | **75** | 🟢 BUY |
| 22 | 000039 | 中集集团 | 制造 | 70 | **74.7** | 🟢 BUY |
| 23 | 600030 | 中信证券 | 金融 | 72 | **73.8** | 🟢 BUY |
| 24 | 600216 | 南京医药 | 医药 | 60 | **73.8** | 🟢 BUY |
| 25 | 835670 | 数字人 | AI教育 | 68 | **73.6** | 🟢 BUY |
| 26 | 600309 | 万华化学 | 化工 | 80 | **73.1** | 🟢 BUY |
| 27 | 871212 | 安达科技 | 新能源 | 65 | **73.1** | 🟢 BUY |
| 28 | 300015 | 爱尔眼科 | 医药 | 85 | **73** | 🟢 BUY |
| 29 | 300059 | 东方财富 | 金融 | 80 | **72.7** | 🟢 BUY |
| 30 | 600176 | 中国巨石 | 建材 | 70 | **72.7** | 🟢 BUY |

## 📊 TOP 120 STOCKS
| Rank | Code | Name | Sector | Quality | Smart40 | Quality30 | Momentum20 | Risk10 | Total | Signal |
|------|------|------|--------|---------|---------|-----------|----------|-------|--------|
| 1 | 600276 | 恒瑞医药 | 医药 | 82 | 89 | 82 | 82 | 79 | **84.3** | 🎯 |
| 2 | 300003 | 乐普医疗 | 医药 | 78 | 89 | 78 | 82 | 76 | **82.9** | 🎯 |
| 3 | 0700 | 腾讯控股 | 科技 | 95 | 72 | 95 | 90 | 54 | **80.8** | 🎯 |
| 4 | 002594 | 比亚迪 | 新能源 | 90 | 71 | 90 | 88 | 72 | **80.3** | 🎯 |
| 5 | 0185 | 众安在线 | 科技 | 70 | 89 | 70 | 90 | 55 | **80.3** | 🎯 |
| 6 | 9988 | 阿里巴巴 | 科技 | 90 | 68 | 90 | 90 | 73 | **79.6** | 🟢 |
| 7 | 300039 | 上海钢联 | 科技 | 70 | 88 | 70 | 90 | 51 | **79.3** | 🟢 |
| 8 | 300750 | 宁德时代 | 新能源 | 92 | 68 | 92 | 88 | 66 | **79.2** | 🟢 |
| 9 | 300142 | 沃森生物 | 医药 | 75 | 84 | 75 | 82 | 64 | **78.9** | 🟢 |
| 10 | 000028 | 国药一致 | 医药 | 72 | 85 | 72 | 82 | 67 | **78.7** | 🟢 |
| 11 | 300033 | 同花顺 | 科技 | 78 | 75 | 78 | 90 | 73 | **78.6** | 🟢 |
| 12 | 300026 | 红日药业 | 医药 | 68 | 88 | 68 | 82 | 64 | **78.5** | 🟢 |
| 13 | 0669 | 创科实业 | 科技 | 68 | 79 | 68 | 90 | 80 | **77.8** | 🟢 |
| 14 | 300038 | 梅泰诺 | 科技 | 55 | 90 | 55 | 90 | 68 | **77.3** | 🟢 |
| 15 | 300408 | 三环集团 | 科技 | 72 | 81 | 72 | 90 | 52 | **77.3** | 🟢 |
| 16 | 600111 | 北方稀土 | 稀土 | 72 | 84 | 72 | 78 | 58 | **76.7** | 🟢 |
| 17 | 600183 | 生益科技 | 电子 | 72 | 86 | 72 | 70 | 65 | **76.4** | 🟢 |
| 18 | 600900 | 长江电力 | 公用 | 85 | 69 | 85 | 80 | 72 | **76.3** | 🟢 |
| 19 | 600161 | 天坛生物 | 医药 | 75 | 76 | 75 | 82 | 71 | **76.2** | 🟢 |
| 20 | 3690 | 美团 | 科技 | 85 | 63 | 85 | 90 | 74 | **76.1** | 🟢 |
| 21 | 601318 | 中国平安 | 金融 | 75 | 84 | 75 | 60 | 79 | **76** | 🟢 |
| 22 | 835305 | 中创光电 | 科技 | 58 | 85 | 58 | 90 | 64 | **76** | 🟢 |
| 23 | 600887 | 伊利股份 | 消费 | 75 | 82 | 75 | 75 | 54 | **75.6** | 🟢 |
| 24 | 002475 | 立讯精密 | 科技 | 75 | 69 | 75 | 90 | 74 | **75.6** | 🟢 |
| 25 | 600201 | 哈药股份 | 医药 | 55 | 87 | 55 | 82 | 78 | **75.5** | 🟢 |
| 26 | 1810 | 小米集团 | 科技 | 72 | 77 | 72 | 90 | 51 | **75.4** | 🟢 |
