# 🧠 CHARLES'S SUPER BRAIN - COMPREHENSIVE STOCK SCAN
## 2026-03-17 | 176 Stocks Scanned

## 📊 SCAN SUMMARY
- Total Stocks: 176
- Hidden Gems Found: 30
- Top 120 Selected: 120

## 💎 TOP 30 HIDDEN GEMS
| Rank | Code | Name | Sector | Quality | Score | Signal |
|------|------|------|--------|---------|-------|--------|
| 1 | 002415 | 海康威视 | 科技 | 78 | **84.6** | 🎯 STRONG |
| 2 | 300014 | 亿纬锂能 | 新能源 | 85 | **84.3** | 🎯 STRONG |
| 3 | 000858 | 五粮液 | 消费 | 88 | **83.1** | 🎯 STRONG |
| 4 | 300015 | 爱尔眼科 | 医药 | 85 | **81.8** | 🎯 STRONG |
| 5 | 872926 | 贝特瑞 | 新能源 | 75 | **81.1** | 🎯 STRONG |
| 6 | 300226 | 上海钢联 | 科技 | 70 | **80.3** | 🎯 STRONG |
| 7 | 835670 | 数字人 | AI教育 | 68 | **79.9** | 🟢 BUY |
| 8 | 300018 | 中科创达 | 科技 | 78 | **79.7** | 🟢 BUY |
| 9 | 002475 | 立讯精密 | 科技 | 75 | **78.7** | 🟢 BUY |
| 10 | 600276 | 恒瑞医药 | 医药 | 82 | **78.4** | 🟢 BUY |
| 11 | 1024 | 快手 | 科技 | 75 | **78.2** | 🟢 BUY |
| 12 | 0185 | 众安在线 | 科技 | 70 | **78.2** | 🟢 BUY |
| 13 | 600887 | 伊利股份 | 消费 | 75 | **77.3** | 🟢 BUY |
| 14 | 300033 | 同花顺 | 科技 | 78 | **77.1** | 🟢 BUY |
| 15 | 600089 | 特变电工 | 新能源 | 68 | **77.1** | 🟢 BUY |
| 16 | 300682 | 朗新科技 | 科技 | 68 | **76.9** | 🟢 BUY |
| 17 | 870299 | 吉林碳谷 | 新材料 | 72 | **76.8** | 🟢 BUY |
| 18 | 300003 | 乐普医疗 | 医药 | 78 | **76.5** | 🟢 BUY |
| 19 | 000028 | 国药一致 | 医药 | 72 | **76.4** | 🟢 BUY |
| 20 | 300347 | 泰格医药 | 医药 | 80 | **76.3** | 🟢 BUY |
| 21 | 2318 | 中国平安 | 金融 | 75 | **75.9** | 🟢 BUY |
| 22 | 600233 | 圆通速递 | 物流 | 68 | **75.9** | 🟢 BUY |
| 23 | 300408 | 三环集团 | 科技 | 72 | **75.7** | 🟢 BUY |
| 24 | 600176 | 中国巨石 | 建材 | 70 | **75.7** | 🟢 BUY |
| 25 | 600196 | 复星医药 | 医药 | 78 | **74.4** | 🟢 BUY |
| 26 | 9618 | 京东集团 | 科技 | 80 | **74.3** | 🟢 BUY |
| 27 | 300034 | 钢研高纳 | 材料 | 62 | **73.9** | 🟢 BUY |
| 28 | 300024 | 机器人 | 科技 | 70 | **73.6** | 🟢 BUY |
| 29 | 871212 | 安达科技 | 新能源 | 65 | **73.4** | 🟢 BUY |
| 30 | 0669 | 创科实业 | 科技 | 68 | **72.8** | 🟢 BUY |

## 📊 TOP 120 STOCKS
| Rank | Code | Name | Sector | Quality | Smart40 | Quality30 | Momentum20 | Risk10 | Total | Signal |
|------|------|------|--------|---------|---------|-----------|----------|-------|--------|
| 1 | 600519 | 贵州茅台 | 消费 | 95 | 88 | 95 | 75 | 62 | **85.1** | 🎯 |
| 2 | 002415 | 海康威视 | 科技 | 78 | 90 | 78 | 90 | 74 | **84.6** | 🎯 |
| 3 | 300014 | 亿纬锂能 | 新能源 | 85 | 86 | 85 | 88 | 70 | **84.3** | 🎯 |
| 4 | 3690 | 美团 | 科技 | 85 | 87 | 85 | 90 | 50 | **83.3** | 🎯 |
| 5 | 000858 | 五粮液 | 消费 | 88 | 85 | 88 | 75 | 75 | **83.1** | 🎯 |
| 6 | 300015 | 爱尔眼科 | 医药 | 85 | 84 | 85 | 82 | 63 | **81.8** | 🎯 |
| 7 | 872926 | 贝特瑞 | 新能源 | 75 | 85 | 75 | 88 | 68 | **81.1** | 🎯 |
| 8 | 300226 | 上海钢联 | 科技 | 70 | 87 | 70 | 90 | 65 | **80.3** | 🎯 |
| 9 | 835670 | 数字人 | AI教育 | 68 | 87 | 68 | 88 | 70 | **79.9** | 🟢 |
| 10 | 300018 | 中科创达 | 科技 | 78 | 77 | 78 | 90 | 74 | **79.7** | 🟢 |
| 11 | 002475 | 立讯精密 | 科技 | 75 | 77 | 75 | 90 | 73 | **78.7** | 🟢 |
| 12 | 600276 | 恒瑞医药 | 医药 | 82 | 79 | 82 | 82 | 59 | **78.4** | 🟢 |
| 13 | 1024 | 快手 | 科技 | 75 | 81 | 75 | 90 | 52 | **78.2** | 🟢 |
| 14 | 0185 | 众安在线 | 科技 | 70 | 82 | 70 | 90 | 65 | **78.2** | 🟢 |
| 15 | 600900 | 长江电力 | 公用 | 85 | 75 | 85 | 80 | 63 | **77.7** | 🟢 |
| 16 | 600887 | 伊利股份 | 消费 | 75 | 83 | 75 | 75 | 66 | **77.3** | 🟢 |
| 17 | 300033 | 同花顺 | 科技 | 78 | 70 | 78 | 90 | 78 | **77.1** | 🟢 |
| 18 | 600089 | 特变电工 | 新能源 | 68 | 81 | 68 | 88 | 68 | **77.1** | 🟢 |
| 19 | 300682 | 朗新科技 | 科技 | 68 | 84 | 68 | 90 | 50 | **76.9** | 🟢 |
| 20 | 870299 | 吉林碳谷 | 新材料 | 72 | 77 | 72 | 85 | 75 | **76.8** | 🟢 |
| 21 | 002594 | 比亚迪 | 新能源 | 90 | 62 | 90 | 88 | 74 | **76.8** | 🟢 |
| 22 | 300003 | 乐普医疗 | 医药 | 78 | 78 | 78 | 82 | 55 | **76.5** | 🟢 |
| 23 | 000028 | 国药一致 | 医药 | 72 | 79 | 72 | 82 | 67 | **76.4** | 🟢 |
| 24 | 300347 | 泰格医药 | 医药 | 80 | 74 | 80 | 82 | 61 | **76.3** | 🟢 |
| 25 | 300750 | 宁德时代 | 新能源 | 92 | 59 | 92 | 88 | 70 | **76** | 🟢 |
| 26 | 2318 | 中国平安 | 金融 | 75 | 88 | 75 | 60 | 61 | **75.9** | 🟢 |
| 27 | 600233 | 圆通速递 | 物流 | 68 | 87 | 68 | 68 | 70 | **75.9** | 🟢 |
