# 🔄 INTEGRATED CYCLE REPORT
## 2026-03-31 13:29
## Phase: AFTERNOON

## TOP 30 STOCKS
| # | Code | Name | Ex | Sector | Score |
|---|------|------|-----|--------|-------|
| 1 | 871047 | 国科科技5 | BSE | 钢铁 | **92** |
| 2 | 871049 | 北控科技5 | BSE | 电力 | **90** |
| 3 | 300119 | 云科技2 | CN | 建材 | **89** |
| 4 | 300178 | 数据科技8 | CN | 航空 | **89** |
| 5 | 871007 | 国科科技1 | BSE | AI | **89** |
| 6 | 871031 | 华北科技4 | BSE | 金融 | **89** |
| 7 | 871039 | 北控科技4 | BSE | 地产 | **89** |
| 8 | 300122 | 新能源科技3 | CN | 电力 | **88** |
| 9 | 300157 | 网络科技6 | CN | 消费 | **88** |
| 10 | 300203 | 芯片科技11 | CN | 电力 | **88** |
| 11 | 871009 | 北控科技1 | BSE | 家电 | **88** |
| 12 | 871014 | 北方科技2 | BSE | 军工 | **88** |
| 13 | 07039 | 渣打资本4 | HK | 地产 | **88** |
| 14 | 300140 | 科技科技5 | CN | 公用 | **87** |
| 15 | 871032 | 中关科技4 | BSE | 化工 | **87** |
| 16 | 300169 | 云科技7 | CN | 环保 | **86** |
| 17 | 300184 | AI科技9 | CN | 消费 | **86** |
| 18 | 871042 | 中关科技5 | BSE | 环保 | **86** |
| 19 | 871051 | 华北科技6 | BSE | 航空 | **86** |
| 20 | 871059 | 北控科技6 | BSE | 化工 | **86** |
| 21 | 07037 | 东亚资本4 | HK | 制造 | **86** |
| 22 | 601035 | 上海建工4 | SH | 新材料 | **85** |
| 23 | 601037 | 上海能源4 | SH | 制造 | **85** |
| 24 | 601089 | 上海制造9 | SH | 新材料 | **85** |
| 25 | 300102 | 新能源科技1 | CN | 医药 | **85** |
| 26 | 300116 | 数字科技2 | CN | 农业 | **85** |
| 27 | 300167 | 网络科技7 | CN | 公用 | **85** |
| 28 | 300208 | 数据科技11 | CN | 科技 | **85** |
| 29 | 871004 | 北方科技1 | BSE | 金融 | **85** |
| 30 | 871005 | 华鑫科技1 | BSE | 化工 | **85** |
