Signal,Stock,Sector,Price,Change,Volume,Score,Our Entry,PnL,Status
BUY,铜陵有色,有色金属,5.59,5.96,5,80,7.28,-23.21,OUR POSITION
BUY,华能国际,电力,7.34,7.54,7,80,,,WATCH
BUY,灿能电力,电力,8.99,8.99,0,80,8.99,0.00,OUR POSITION
WATCH,华能国际,电力,10.05,10.23,10,70,,,WATCH
WATCH,格林美,新能源,7.63,7.95,7,70,9.08,-15.97,OUR POSITION
WATCH,鹏华资产,电力,4.85,4.97,4,60,,,WATCH
WAIT,亚光科技,科技,6.06,6.51,6,55,,,WATCH
WAIT,中环装备,环保,7,7.29,7,55,,,WATCH
WAIT,中金黄金,黄金,23.91,26.08,24,35,,,WATCH
WAIT,湖南黄金,黄金,27.3,29.4,28,35,,,WATCH
WAIT,数字人,AI教育,18.45,18.45,0,20,29.14,-36.68,OUR POSITION
WAIT,比亚迪,新能源,107.63,103.03,103,15,,,WATCH
WAIT,紫金矿业,黄金,30.58,31.65,30,15,,,WATCH
WAIT,宁德时代,新能源,401.99,413,417,15,,,WATCH
WAIT,贝特瑞,新能源,NaN,NaN,0,15,68,NaN,OUR POSITION
WAIT,中际旭创,科技,261.42,278.72,267,0,178.96,46.08,OUR POSITION
WAIT,江西铜业,铜业,42.45,45,43,0,,,WATCH
WAIT,国科科技,钢铁,NaN,NaN,0,0,,,WATCH
WAIT,同花顺,科技,307.09,316.1,309,0,,,WATCH
